ukprn,provider_name,academic_year,country,region,surplus_vs_income,staff_vs_income,unrestricted_vs_income,net_liquidity_days,external_borrowing_vs_income,current_ratio,debt_service_ratio,avg_salary,academic_salary,vc_avg_salary,vc_avg_remunerate,data_source
10004048,London Metropolitan University,2024/25,England,London,-7.9,52.2,169.3,169,0.0,2.0,0.0,,,,,HESA table-14
10004061,Bloomsbury Institute,2019/20,England,London,3.8,36.0,-24.4,123,65.6,3.2,,,,,,HESA table-14
10004061,Bloomsbury Institute,2020/21,England,London,10.4,40.5,-21.3,169,98.1,8.0,-1.0,,,,,HESA table-14
10004061,Bloomsbury Institute,2021/22,England,London,-46.5,68.7,-68.3,193,98.8,1.4,5.5,,,,,HESA table-14
10004061,Bloomsbury Institute,2022/23,England,London,-14.2,34.1,-41.8,83,0.0,0.9,0.1,,,,,HESA table-14
10004061,Bloomsbury Institute,2023/24,England,London,-11.4,41.6,-63.1,36,0.0,1.0,0.0,,,,,HESA table-14
10004061,Bloomsbury Institute,2024/25,England,London,-39.5,54.1,-130.4,156,0.0,0.8,0.0,,,,,HESA table-14
10004063,London School of Economics and Political Science,2015/16,England,London,9.8,50.2,96.4,75,54.1,0.8,,,,,,HESA table-14
10004063,London School of Economics and Political Science,2016/17,England,London,10.0,49.4,106.1,96,49.6,1.0,,57.649,,4.874,4.396,HESA table-14
10004063,London School of Economics and Political Science,2017/18,England,London,8.4,52.2,113.2,124,55.3,1.2,,55.673,53.43,6.179,7.214,HESA table-14
10004063,London School of Economics and Political Science,2018/19,England,London,2.2,62.9,96.9,47,47.2,0.8,,57.441,56.282,6.215,6.846,HESA table-14
10004063,London School of Economics and Political Science,2019/20,England,London,19.3,42.4,103.6,24,46.7,0.7,,58.751,58.332,6.213,6.807,HESA table-14
10004063,London School of Economics and Political Science,2020/21,England,London,14.5,51.6,128.0,125,60.8,0.8,4.4,57.828,57.124,5.776,6.603,HESA table-14
10004063,London School of Economics and Political Science,2021/22,England,London,-5.0,69.2,109.8,120,52.2,1.5,1.3,58.811,60.412,6.461,7.131,HESA table-14
10004063,London School of Economics and Political Science,2022/23,England,London,8.7,52.7,113.3,200,58.5,2.5,1.9,62.632,63.264,6.115,7.113,HESA table-14
10004063,London School of Economics and Political Science,2023/24,England,London,34.1,29.4,132.3,280,51.1,2.7,4.5,,,,,HESA table-14
10004063,London School of Economics and Political Science,2024/25,England,London,9.2,53.2,135.3,173,71.6,2.4,3.5,,,,,HESA table-14
10004075,London School of Theology,2019/20,England,London,-11.0,58.9,268.1,95,1.5,2.0,,,,,,HESA table-14
10004075,London School of Theology,2020/21,England,London,0.9,56.8,250.6,200,1.4,3.1,-98.0,,,,,HESA table-14
10004075,London School of Theology,2021/22,England,London,-4.3,60.9,308.3,132,0.1,2.7,0.0,,,,,HESA table-14
10004075,London School of Theology,2022/23,England,London,-15.3,68.8,301.4,98,0.0,2.4,0.0,,,,,HESA table-14
10004075,London School of Theology,2023/24,England,London,-23.3,78.0,280.8,86,2.3,2.5,0.0,,,,,HESA table-14
10004075,London School of Theology,2024/25,England,London,-23.3,76.1,269.1,73,1.7,2.5,-56.0,,,,,HESA table-14
10004078,London South Bank University,2015/16,England,London,2.4,51.8,54.4,154,19.5,1.5,,,,,,HESA table-14
10004078,London South Bank University,2016/17,England,London,1.3,52.0,61.4,134,17.7,1.9,,41.408,,5.41,5.265,HESA table-14
10004078,London South Bank University,2017/18,England,London,1.1,56.5,75.3,135,16.7,2.2,,45.04,45.891,5.062,4.882,HESA table-14
10004078,London South Bank University,2018/19,England,London,10.6,49.9,69.4,142,20.1,2.3,,39.725,38.859,5.891,5.514,HESA table-14
10004078,London South Bank University,2019/20,England,London,0.7,56.0,44.9,110,18.7,1.8,,43.048,42.233,5.529,5.221,HESA table-14
10004078,London South Bank University,2020/21,England,London,1.5,55.9,47.3,59,16.3,1.0,8.0,44.838,45.37,5.308,4.974,HESA table-14
10004078,London South Bank University,2021/22,England,London,0.8,57.0,117.8,18,19.8,0.7,6.5,42.337,42.641,5.716,5.04,HESA table-14
10004078,London South Bank University,2022/23,England,London,-8.1,55.4,148.3,14,22.5,0.4,1.2,45.054,48.152,5.527,5.4,HESA table-14
10004078,London South Bank University,2023/24,England,London,-3.9,54.4,133.8,4,19.9,0.4,1.5,,,,,HESA table-14
10004078,London South Bank University,2024/25,England,London,-4.0,55.2,136.5,7,20.8,0.4,0.6,,,,,HESA table-14
10004079,London Studio Centre,2019/20,England,London,2.1,27.1,28.3,14,0.6,1.0,,,,,,HESA table-14
10004079,London Studio Centre,2020/21,England,London,1.9,28.5,30.3,66,0.5,1.0,101.8,,,,,HESA table-14
10004079,London Studio Centre,2021/22,England,London,2.1,29.0,30.7,82,0.4,1.1,56.8,,,,,HESA table-14
10004079,London Studio Centre,2022/23,England,London,1.9,29.5,27.5,27,0.6,1.2,-21.0,,,,,HESA table-14
10004079,London Studio Centre,2023/24,England,London,-11.8,34.7,18.4,8,0.6,1.2,-19.1,,,,,HESA table-14
10004079,London Studio Centre,2024/25,England,London,0.8,29.5,19.2,47,0.4,1.2,-43.9,,,,,HESA table-14
10004113,Loughborough University,2015/16,England,East Midlands,5.6,50.0,70.6,118,26.4,1.4,,,,,,HESA table-14
10004113,Loughborough University,2016/17,England,East Midlands,6.8,50.2,79.6,108,24.7,1.4,,38.992,,6.155,5.719,HESA table-14
10004113,Loughborough University,2017/18,England,East Midlands,1.8,53.6,87.7,115,43.0,1.5,,40.495,53.674,6.421,5.791,HESA table-14
10004113,Loughborough University,2018/19,England,East Midlands,-14.2,71.0,66.1,78,39.6,1.4,,42.757,54.68,6.619,5.834,HESA table-14
10004113,Loughborough University,2019/20,England,East Midlands,16.7,43.0,65.7,104,36.0,1.6,,42.647,54.258,6.988,6.088,HESA table-14
10004113,Loughborough University,2020/21,England,East Midlands,3.0,56.2,72.2,140,36.0,2.1,6.4,40.355,55.583,7.384,6.304,HESA table-14
10004113,Loughborough University,2021/22,England,East Midlands,-15.2,74.4,84.5,141,31.6,2.3,7.4,41.357,56.066,8.052,7.077,HESA table-14
10004113,Loughborough University,2022/23,England,East Midlands,8.0,49.1,88.1,165,26.6,2.4,4.1,45.017,58.549,6.931,5.997,HESA table-14
10004113,Loughborough University,2023/24,England,East Midlands,30.1,25.7,118.5,209,25.5,2.4,2.2,,,,,HESA table-14
10004113,Loughborough University,2024/25,England,East Midlands,1.7,53.9,112.3,123,22.8,2.4,2.8,,,,,HESA table-14
10004180,The Manchester Metropolitan University,2015/16,England,North West,9.5,53.8,126.9,199,12.4,3.4,,,,,,HESA table-14
10004180,The Manchester Metropolitan University,2016/17,England,North West,2.2,56.5,142.5,203,10.9,3.9,,28.506,,8.946,8.936,HESA table-14
10004180,The Manchester Metropolitan University,2017/18,England,North West,1.2,57.5,151.0,221,9.5,3.8,,36.233,41.491,7.259,7.29,HESA table-14
10004180,The Manchester Metropolitan University,2018/19,England,North West,-0.7,61.0,134.1,185,8.4,3.5,,36.997,41.465,7.244,7.225,HESA table-14
10004180,The Manchester Metropolitan University,2019/20,England,North West,1.6,62.0,105.9,154,7.6,2.8,,38.928,42.979,6.885,6.562,HESA table-14
10004180,The Manchester Metropolitan University,2020/21,England,North West,1.9,64.7,101.3,144,6.7,2.2,14.0,41.178,50.453,6.508,6.093,HESA table-14
10004180,The Manchester Metropolitan University,2021/22,England,North West,2.7,61.3,167.1,158,5.9,2.1,23.6,40.006,42.687,6.799,6.595,HESA table-14
10004180,The Manchester Metropolitan University,2022/23,England,North West,3.8,56.1,160.2,120,0.0,1.7,2.1,43.834,45.599,6.411,6.158,HESA table-14
10004180,The Manchester Metropolitan University,2023/24,England,North West,3.5,55.0,147.9,103,0.0,1.8,111.0,,,,,HESA table-14
10004180,The Manchester Metropolitan University,2024/25,England,North West,5.6,58.7,152.3,115,0.0,2.3,171.4,,,,,HESA table-14
10004320,The Metanoia Institute,2019/20,England,London,3.0,73.8,109.3,299,0.0,2.2,,,,,,HESA table-14
10004320,The Metanoia Institute,2020/21,England,London,3.3,72.7,96.2,268,0.0,2.3,0.0,,,,,HESA table-14
10004320,The Metanoia Institute,2021/22,England,London,10.2,69.3,89.4,299,0.0,2.6,0.0,,,,,HESA table-14
10004320,The Metanoia Institute,2022/23,England,London,-6.6,80.9,87.0,230,0.0,2.3,0.0,,,,,HESA table-14
10004320,The Metanoia Institute,2023/24,England,London,4.0,72.9,79.7,258,0.0,2.5,0.0,,,,,HESA table-14
10004320,The Metanoia Institute,2024/25,England,London,2.2,73.5,81.8,257,0.0,2.8,0.0,,,,,HESA table-14
10004351,Middlesex University,2015/16,England,London,1.5,56.1,14.2,139,45.2,1.6,,,,,,HESA table-14
10004351,Middlesex University,2016/17,England,London,4.5,56.3,37.0,148,41.6,1.9,,44.469,,5.847,5.675,HESA table-14
10004351,Middlesex University,2017/18,England,London,2.7,57.5,47.3,170,38.7,2.1,,44.908,45.005,5.79,5.261,HESA table-14
10004351,Middlesex University,2018/19,England,London,2.7,56.2,38.3,181,37.9,2.3,,46.856,46.856,5.656,4.882,HESA table-14
10004351,Middlesex University,2019/20,England,London,-1.6,56.9,15.3,178,35.5,2.3,,48.378,48.378,5.664,5.105,HESA table-14
10004351,Middlesex University,2020/21,England,London,-1.4,59.4,19.0,207,34.5,2.5,2.6,46.228,46.228,5.408,4.714,HESA table-14
10004351,Middlesex University,2021/22,England,London,-12.0,65.4,85.9,190,34.3,2.2,1.4,45.804,45.804,5.545,4.678,HESA table-14
10004351,Middlesex University,2022/23,England,London,-5.2,59.0,90.7,163,30.1,1.8,0.9,46.397,46.401,5.625,4.702,HESA table-14
10004351,Middlesex University,2023/24,England,London,-10.8,57.8,80.3,115,28.1,0.8,-1.4,,,,,HESA table-14
10004351,Middlesex University,2024/25,England,London,-7.5,55.1,75.7,105,24.1,1.4,-0.4,,,,,HESA table-14
10004450,Mountview Academy of Theatre Arts,2019/20,England,London,1.8,49.3,59.3,214,275.9,1.2,,,,,,HESA table-14
10004450,Mountview Academy of Theatre Arts,2020/21,England,London,-12.6,68.7,62.1,210,342.5,1.2,-0.1,,,,,HESA table-14
10004450,Mountview Academy of Theatre Arts,2021/22,England,London,-28.2,59.4,32.3,174,326.9,1.1,0.0,,,,,HESA table-14
10004450,Mountview Academy of Theatre Arts,2022/23,England,London,-22.1,54.4,11.1,131,301.0,1.0,0.0,,,,,HESA table-14
10004450,Mountview Academy of Theatre Arts,2023/24,England,London,-15.5,53.3,1.5,109,277.8,0.9,-0.5,,,,,HESA table-14
10004450,Mountview Academy of Theatre Arts,2024/25,England,London,-16.8,55.1,-10.1,61,274.0,0.8,0.0,,,,,HESA table-14
10004511,The National Film and Television School,2015/16,England,South East,10.4,36.0,69.6,154,10.0,1.3,,,,,,HESA table-14
10004511,The National Film and Television School,2016/17,England,South East,11.7,34.7,70.7,80,13.2,1.0,,43.392,,3.526,3.283,HESA table-14
10004511,The National Film and Television School,2017/18,England,South East,2.9,37.3,76.3,77,11.9,0.9,,43.336,66.16,3.461,2.991,HESA table-14
10004511,The National Film and Television School,2018/19,England,South East,3.1,36.0,71.4,65,11.0,1.0,,43.771,65.56,3.427,3.123,HESA table-14
10004511,The National Film and Television School,2019/20,England,South East,1.4,39.0,69.6,107,10.0,1.0,,44.722,66.643,3.354,2.898,HESA table-14
10004511,The National Film and Television School,2020/21,England,South East,0.7,39.8,74.9,149,11.5,0.9,9.8,44.144,60.533,3.398,3.178,HESA table-14
10004511,The National Film and Television School,2021/22,England,South East,3.8,35.8,69.1,129,8.2,0.9,2.9,43.905,28.277,3.758,3.184,HESA table-14
10004511,The National Film and Television School,2022/23,England,South East,5.0,38.9,63.7,83,5.3,0.9,-0.2,52.932,34.313,3.287,3.603,HESA table-14
10004511,The National Film and Television School,2023/24,England,South East,6.4,39.5,67.1,58,0.1,0.9,3.0,,,,,HESA table-14
10004511,The National Film and Television School,2024/25,England,South East,7.5,40.2,65.8,85,0.1,1.1,104.6,,,,,HESA table-14
10004538,Nazarene Theological College,2018/19,England,North West,1.9,56.4,149.6,156,14.2,5.6,,,,,,HESA table-14
10004538,Nazarene Theological College,2019/20,England,North West,9.9,49.8,149.7,189,13.2,8.4,,,,,,HESA table-14
10004538,Nazarene Theological College,2020/21,England,North West,11.5,47.6,166.6,288,12.8,11.9,12.0,,,,,HESA table-14
10004538,Nazarene Theological College,2021/22,England,North West,3.8,46.5,171.9,295,11.9,4.7,5.4,,,,,HESA table-14
10004538,Nazarene Theological College,2022/23,England,North West,2.3,46.2,151.7,250,9.4,8.4,1.2,,,,,HESA table-14
10004538,Nazarene Theological College,2023/24,England,North West,0.9,53.4,155.8,227,8.8,7.6,-1.9,,,,,HESA table-14
10004538,Nazarene Theological College,2024/25,England,North West,0.5,56.8,154.5,249,7.7,5.6,5.5,,,,,HESA table-14
10004740,Northern College of Acupuncture,2018/19,England,Yorkshire and The Humber,-7.9,48.1,24.1,112,0.0,2.7,,,,,,HESA table-14
10004740,Northern College of Acupuncture,2019/20,England,Yorkshire and The Humber,7.8,55.2,28.4,136,0.0,2.7,,,,,,HESA table-14
10004740,Northern College of Acupuncture,2020/21,England,Yorkshire and The Humber,0.5,45.9,30.4,158,0.0,2.5,0.0,,,,,HESA table-14
10004740,Northern College of Acupuncture,2021/22,England,Yorkshire and The Humber,-5.0,51.1,26.1,148,0.0,2.3,0.0,,,,,HESA table-14
10004740,Northern College of Acupuncture,2022/23,England,Yorkshire and The Humber,1.0,51.2,28.5,166,0.0,2.4,0.0,,,,,HESA table-14
10004740,Northern College of Acupuncture,2023/24,England,Yorkshire and The Humber,-10.3,50.6,16.9,107,0.0,1.9,0.0,,,,,HESA table-14
10004740,Northern College of Acupuncture,2024/25,England,Yorkshire and The Humber,-14.2,60.9,1.7,51,0.0,1.1,0.0,,,,,HESA table-14
10004747,St Hild College,2024/25,England,Yorkshire and The Humber,5.2,61.0,25.3,63,0.0,6.1,0.0,,,,,HESA table-14
10004775,Norwich University of the Arts,2015/16,England,East of England,24.0,41.8,118.6,369,5.1,8.4,,,,,,HESA table-14
10004775,Norwich University of the Arts,2016/17,England,East of England,26.2,43.0,134.8,509,4.4,17.5,,30.578,,5.789,4.486,HESA table-14
10004775,Norwich University of the Arts,2017/18,England,East of England,17.1,48.2,157.5,556,4.0,19.5,,31.226,42.212,5.796,4.283,HESA table-14
10004775,Norwich University of the Arts,2018/19,England,East of England,19.8,47.7,160.4,610,3.5,21.8,,31.328,43.914,5.937,4.772,HESA table-14
10004775,Norwich University of the Arts,2019/20,England,East of England,14.5,51.4,155.1,630,3.2,17.1,,33.059,45.851,7.683,6.275,HESA table-14
10004775,Norwich University of the Arts,2020/21,England,East of England,20.5,51.1,159.5,560,2.6,8.2,74.9,32.702,43.396,8.318,8.266,HESA table-14
10004775,Norwich University of the Arts,2021/22,England,East of England,17.7,50.3,224.8,484,2.1,9.8,67.4,32.313,44.319,5.973,5.823,HESA table-14
10004775,Norwich University of the Arts,2022/23,England,East of England,16.8,48.2,234.4,471,1.6,7.7,59.1,35.565,49.74,5.624,5.323,HESA table-14
10004775,Norwich University of the Arts,2023/24,England,East of England,13.0,48.9,237.4,426,1.3,8.7,32.4,,,,,HESA table-14
10004775,Norwich University of the Arts,2024/25,England,East of England,1.4,58.8,249.3,307,1.0,5.7,6.0,,,,,HESA table-14
10004797,The Nottingham Trent University,2015/16,England,East Midlands,6.2,55.8,29.3,126,32.0,2.2,,,,,,HESA table-14
10004797,The Nottingham Trent University,2016/17,England,East Midlands,2.8,58.7,31.6,110,29.6,2.4,,36.685,,6.815,6.999,HESA table-14
10004797,The Nottingham Trent University,2017/18,England,East Midlands,-0.2,60.9,41.9,100,29.7,2.2,,37.598,47.202,6.969,7.119,HESA table-14
10004797,The Nottingham Trent University,2018/19,England,East Midlands,-1.3,63.0,28.3,77,27.4,1.7,,38.544,47.409,6.953,7.167,HESA table-14
10004797,The Nottingham Trent University,2019/20,England,East Midlands,2.0,61.4,-5.1,109,30.9,1.7,,40.149,50.528,6.8,6.799,HESA table-14
10004797,The Nottingham Trent University,2020/21,England,East Midlands,5.3,61.8,1.9,161,22.9,2.9,3.7,40.266,51.238,6.78,6.252,HESA table-14
10004797,The Nottingham Trent University,2021/22,England,East Midlands,2.1,63.1,80.5,189,20.9,3.3,19.9,40.9,51.515,6.773,6.425,HESA table-14
10004797,The Nottingham Trent University,2022/23,England,East Midlands,5.4,58.7,109.8,150,10.2,2.7,1.1,43.266,57.278,6.818,7.145,HESA table-14
10004797,The Nottingham Trent University,2023/24,England,East Midlands,2.1,59.4,108.8,135,10.1,2.4,17.8,,,,,HESA table-14
10004797,The Nottingham Trent University,2024/25,England,East Midlands,-2.1,64.8,119.3,130,9.7,2.4,3.9,,,,,HESA table-14
10004930,Oxford Brookes University,2015/16,England,South East,6.9,49.9,69.3,118,68.8,1.9,,,,,,HESA table-14
10004930,Oxford Brookes University,2016/17,England,South East,3.0,51.8,69.2,83,66.3,1.4,,39.695,,5.87,4.757,HESA table-14
10004930,Oxford Brookes University,2017/18,England,South East,-5.7,56.0,84.8,64,65.0,1.2,,41.071,48.791,5.673,4.45,HESA table-14
10004930,Oxford Brookes University,2018/19,England,South East,-1.8,55.5,69.6,198,100.2,3.5,,41.802,49.124,5.574,4.294,HESA table-14
10004930,Oxford Brookes University,2019/20,England,South East,-4.7,58.5,51.9,207,102.0,3.2,,43.725,51.7,5.329,4.264,HESA table-14
10004930,Oxford Brookes University,2020/21,England,South East,-1.7,58.5,72.7,241,97.0,3.1,3.9,43.313,49.31,5.379,4.255,HESA table-14
10004930,Oxford Brookes University,2021/22,England,South East,-7.3,60.2,133.5,215,92.3,2.9,2.9,44.309,50.998,5.349,4.413,HESA table-14
10004930,Oxford Brookes University,2022/23,England,South East,0.0,53.1,125.8,162,83.3,2.1,2.3,47.767,54.122,5.15,4.281,HESA table-14
10004930,Oxford Brookes University,2023/24,England,South East,5.9,40.4,110.2,56,71.7,1.0,1.4,,,,,HESA table-14
10004930,Oxford Brookes University,2024/25,England,South East,5.1,40.8,101.9,43,63.0,1.1,2.3,,,,,HESA table-14
10005127,Arts University Plymouth,2015/16,England,South West,6.6,51.9,30.8,108,44.5,2.3,,,,,,HESA table-14
10005127,Arts University Plymouth,2016/17,England,South West,0.3,57.8,30.2,103,39.8,2.2,,28.717,,5.398,4.805,HESA table-14
10005127,Arts University Plymouth,2017/18,England,South West,-2.7,61.7,36.5,101,34.8,2.7,,30.235,36.0,5.259,4.871,HESA table-14
10005127,Arts University Plymouth,2018/19,England,South West,-8.5,66.5,25.5,99,33.1,2.0,,31.845,44.765,5.15,4.863,HESA table-14
10005127,Arts University Plymouth,2019/20,England,South West,-4.7,67.9,-15.0,124,31.0,2.3,,32.47,42.539,5.112,4.902,HESA table-14
10005127,Arts University Plymouth,2020/21,England,South West,-12.7,78.6,-29.9,121,28.3,2.4,1.1,32.707,46.882,5.32,4.844,HESA table-14
10005127,Arts University Plymouth,2021/22,England,South West,-20.9,82.8,59.9,102,23.4,1.9,0.0,33.527,49.246,4.206,3.999,HESA table-14
10005127,Arts University Plymouth,2022/23,England,South West,-3.2,66.4,91.7,97,16.0,2.2,0.7,34.522,48.359,4.403,4.289,HESA table-14
10005127,Arts University Plymouth,2023/24,England,South West,-7.7,68.1,91.7,65,12.3,1.0,-0.8,,,,,HESA table-14
10005127,Arts University Plymouth,2024/25,England,South West,3.4,55.9,81.6,58,6.0,1.3,0.9,,,,,HESA table-14
10005337,"Queen Margaret University, Edinburgh",2015/16,Scotland,Scotland,-5.0,59.8,72.6,88,96.0,1.2,,,,,,HESA table-14
10005337,"Queen Margaret University, Edinburgh",2016/17,Scotland,Scotland,-2.0,59.8,73.6,87,85.8,1.6,,40.315,,5.209,4.884,HESA table-14
10005337,"Queen Margaret University, Edinburgh",2017/18,Scotland,Scotland,-14.5,64.9,148.3,79,87.1,0.3,,40.921,,5.132,4.687,HESA table-14
10005337,"Queen Margaret University, Edinburgh",2018/19,Scotland,Scotland,-15.3,67.6,182.3,74,77.8,1.2,,42.082,46.128,5.109,4.401,HESA table-14
10005337,"Queen Margaret University, Edinburgh",2019/20,Scotland,Scotland,-1.2,57.3,153.7,90,72.2,1.6,,42.195,49.675,4.479,4.095,HESA table-14
10005337,"Queen Margaret University, Edinburgh",2020/21,Scotland,Scotland,-4.2,61.3,165.0,140,63.0,1.8,1.8,42.727,48.865,4.119,3.774,HESA table-14
10005337,"Queen Margaret University, Edinburgh",2021/22,Scotland,Scotland,-0.8,60.5,229.1,127,43.9,1.7,1.1,42.792,47.711,4.744,4.23,HESA table-14
10005337,"Queen Margaret University, Edinburgh",2022/23,Scotland,Scotland,0.3,58.5,279.7,140,38.5,2.0,2.0,45.58,48.668,4.607,4.119,HESA table-14
10005337,"Queen Margaret University, Edinburgh",2023/24,Scotland,Scotland,5.8,55.7,272.2,150,34.6,0.8,2.3,,,,,HESA table-14
10005337,"Queen Margaret University, Edinburgh",2024/25,Scotland,Scotland,-6.0,61.7,288.5,33,8.9,0.9,0.1,,,,,HESA table-14
10005343,Queen's University Belfast,2015/16,Northern Ireland,Northern Ireland,0.2,57.0,112.9,308,13.6,2.8,,,,,,HESA table-14
10005343,Queen's University Belfast,2016/17,Northern Ireland,Northern Ireland,3.6,53.7,119.9,270,6.8,2.5,,37.527,,6.955,6.478,HESA table-14
10005343,Queen's University Belfast,2017/18,Northern Ireland,Northern Ireland,5.6,54.1,138.8,246,8.4,2.4,,37.797,,5.635,4.626,HESA table-14
10005343,Queen's University Belfast,2018/19,Northern Ireland,Northern Ireland,-17.2,77.0,123.2,184,7.8,2.6,,39.098,77.315,7.545,6.452,HESA table-14
10005343,Queen's University Belfast,2019/20,Northern Ireland,Northern Ireland,14.5,47.9,149.7,308,7.3,3.0,,39.995,78.767,7.651,6.451,HESA table-14
10005343,Queen's University Belfast,2020/21,Northern Ireland,Northern Ireland,6.2,58.5,176.4,321,6.6,2.8,44.7,40.292,80.492,7.595,6.364,HESA table-14
10005343,Queen's University Belfast,2021/22,Northern Ireland,Northern Ireland,-18.2,78.0,140.8,215,5.7,2.3,29.0,42.645,81.967,7.387,6.219,HESA table-14
10005343,Queen's University Belfast,2022/23,Northern Ireland,Northern Ireland,4.1,50.8,136.3,241,5.2,2.1,-9.7,44.014,85.876,7.498,6.336,HESA table-14
10005343,Queen's University Belfast,2023/24,Northern Ireland,Northern Ireland,26.8,30.2,158.4,197,4.8,1.5,-20.8,,,,,HESA table-14
10005343,Queen's University Belfast,2024/25,Northern Ireland,Northern Ireland,-9.8,62.4,138.3,86,4.3,1.0,-26.3,,,,,HESA table-14
10005378,Rambert School,2021/22,England,London,12.3,40.0,76.7,360,1.1,8.5,0.0,,,,,HESA table-14
10005378,Rambert School,2022/23,England,London,0.4,42.2,71.6,256,1.0,9.8,0.0,,,,,HESA table-14
10005378,Rambert School,2023/24,England,London,5.6,45.6,73.5,264,1.0,7.2,0.0,,,,,HESA table-14
10005378,Rambert School,2024/25,England,London,1.9,50.0,74.3,262,0.0,5.6,0.0,,,,,HESA table-14
10005389,Ravensbourne University London,2015/16,England,London,1.6,43.6,123.9,212,21.4,2.6,,,,,,HESA table-14
10005389,Ravensbourne University London,2016/17,England,London,0.4,50.1,122.8,203,18.0,3.2,,40.641,,3.469,3.257,HESA table-14
10005389,Ravensbourne University London,2017/18,England,London,1.3,52.8,129.1,229,16.4,3.4,,42.907,52.461,3.333,3.181,HESA table-14
10005389,Ravensbourne University London,2018/19,England,London,4.1,51.4,119.9,260,15.1,4.0,,43.254,51.585,3.375,5.949,HESA table-14
10005389,Ravensbourne University London,2019/20,England,London,0.2,57.0,112.7,237,14.3,4.1,,44.656,50.867,3.337,3.054,HESA table-14
10005389,Ravensbourne University London,2020/21,England,London,-1.8,62.1,116.6,239,13.0,3.7,6.7,45.91,54.345,3.703,3.314,HESA table-14
10005389,Ravensbourne University London,2021/22,England,London,-4.5,61.3,148.6,261,13.5,3.7,6.1,46.307,52.59,3.736,3.37,HESA table-14
10005389,Ravensbourne University London,2022/23,England,London,0.2,43.5,108.3,250,8.8,2.1,17.3,48.117,55.207,3.741,3.35,HESA table-14
10005389,Ravensbourne University London,2023/24,England,London,10.6,34.0,79.7,272,0.2,1.6,4.6,,,,,HESA table-14
10005389,Ravensbourne University London,2024/25,England,London,5.8,29.7,61.2,268,0.1,1.3,487.1,,,,,HESA table-14
10005451,Arden University,2019/20,England,West Midlands,-8.0,48.6,-33.9,109,1.2,1.1,,,,,,HESA table-14
10005451,Arden University,2020/21,England,West Midlands,3.4,45.6,-17.8,73,1.8,1.1,124.8,,,,,HESA table-14
10005451,Arden University,2021/22,England,West Midlands,13.7,38.3,1.3,29,0.6,1.2,58.1,,,,,HESA table-14
10005451,Arden University,2022/23,England,West Midlands,30.3,31.9,45.2,42,0.1,1.4,93.2,,,,,HESA table-14
10005451,Arden University,2023/24,England,West Midlands,30.3,32.3,44.8,117,0.1,1.6,137.4,,,,,HESA table-14
10005451,Arden University,2024/25,England,West Midlands,35.0,31.1,60.8,72,0.0,1.9,1168.5,,,,,HESA table-14
10005470,"Richmond, The American International University in London",2018/19,England,London,0.4,36.6,1.3,43,0.0,1.3,,,,,,HESA table-14
10005470,"Richmond, The American International University in London",2019/20,England,London,23.2,23.6,1.5,29,3.5,1.2,,,,,,HESA table-14
10005470,"Richmond, The American International University in London",2020/21,England,London,-76.9,63.0,-63.2,15,0.0,0.6,-5.9,,,,,HESA table-14
10005470,"Richmond, The American International University in London",2021/22,England,London,-76.9,63.0,-132.6,44,140.5,1.0,0.0,,,,,HESA table-14
10005470,"Richmond, The American International University in London",2022/23,England,London,-66.5,52.2,-200.8,45,166.7,0.5,0.0,,,,,HESA table-14
10005470,"Richmond, The American International University in London",2023/24,England,London,-35.6,36.0,-202.7,34,183.8,0.4,0.0,,,,,HESA table-14
10005470,"Richmond, The American International University in London",2024/25,England,London,-72.2,52.3,-296.1,13,263.4,0.3,0.0,,,,,HESA table-14
10005500,Robert Gordon University,2015/16,Scotland,Scotland,-8.6,60.6,162.0,73,31.0,1.6,,,,,,HESA table-14
10005500,Robert Gordon University,2016/17,Scotland,Scotland,-8.3,60.7,165.0,78,31.2,1.7,,38.646,,6.055,5.667,HESA table-14
10005500,Robert Gordon University,2017/18,Scotland,Scotland,-13.5,64.4,202.8,68,34.7,1.5,,39.053,,6.094,5.413,HESA table-14
10005500,Robert Gordon University,2018/19,Scotland,Scotland,-8.9,67.8,166.9,75,35.7,1.6,,39.257,49.673,5.502,4.811,HESA table-14
10005500,Robert Gordon University,2019/20,Scotland,Scotland,-9.3,70.1,143.9,99,39.7,1.9,,39.621,50.898,5.502,4.362,HESA table-14
10005500,Robert Gordon University,2020/21,Scotland,Scotland,-2.5,65.2,164.0,140,36.3,2.0,9.9,40.751,52.002,5.006,4.845,HESA table-14
10005500,Robert Gordon University,2021/22,Scotland,Scotland,-0.2,62.7,183.7,184,32.1,1.9,12.9,40.179,50.6,5.202,4.92,HESA table-14
10005500,Robert Gordon University,2022/23,Scotland,Scotland,2.1,58.3,163.1,172,28.5,2.2,4.3,41.777,54.616,5.314,4.974,HESA table-14
10005500,Robert Gordon University,2023/24,Scotland,Scotland,-4.9,60.3,161.6,150,28.7,2.4,-4.4,,,,,HESA table-14
10005500,Robert Gordon University,2024/25,Scotland,Scotland,-4.5,54.8,162.6,138,29.2,2.5,-3.3,,,,,HESA table-14
10005523,Rose Bruford College of Theatre and Performance,2015/16,England,London,0.4,51.3,37.7,51,9.1,1.2,,,,,,HESA table-14
10005523,Rose Bruford College of Theatre and Performance,2016/17,England,London,-5.7,51.6,35.1,39,7.4,1.0,,45.654,,3.286,3.097,HESA table-14
