ukprn,name,postcode,town,website,latitude,longitude,constituency_2024,constituency_pcon_code
10008574,University Of Wales Prifysgol Cymru,CF10 3NS,Cardiff,www.wales.ac.uk,51.485538,-3.181039,Cardiff South and Penarth,W07000091
10007858,University Of Wales: Trinity Saint David,SA31 3EP,Carmarthen,www.trinitysaintdavid.ac.uk,51.85837,-4.328737,Caerfyrddin,W07000087
10007163,University Of Warwick,CV4 7AL,Coventry,www.warwick.ac.uk,52.385682,-1.56482,Coventry South,E14001182
10006566,University Of West London,W5 5RF,London,www.uwl.ac.uk,51.50726,-0.302991,Ealing Central and Acton,E14001207
10003614,University Of Winchester,SO22 4NR,Winchester,www.winchester.ac.uk,51.059996,-1.326729,Winchester,E14001587
10007166,University Of Wolverhampton,WV1 1LY,Wolverhampton,www.wlv.ac.uk,52.588182,-2.12807,Wolverhampton West,E14001596
10007139,"University Of Worcester, The",WR2 6AJ,Worcester,www.worc.ac.uk,52.197379,-2.243081,Worcester,E14001597
10007167,University Of York,YO10 5DD,York,www.york.ac.uk,53.948437,-1.053553,York Central,E14001604
10007657,Writtle College,CM1 3RR,Chelmsford,www.writtle.ac.uk,51.737202,0.428159,North West Essex,E14001402
10007713,York St John University,YO31 7EX,York,www.yorksj.ac.uk,53.964862,-1.079552,York Central,E14001604
