constituency_name,region,intl_students_firstyear,gross_benefit,costs,net_benefit,net_benefit_per_resident,region_impact,boundary_note
East Grinstead and Uckfield,South East,100,11401548.93,1083270.54,10318278.39,110,3571691172.66,pre-2024 boundaries
East Ham,London,2370,262774857.52,32773375.25,230001482.27,1760,9591194979.52,pre-2024 boundaries
East Hampshire,South East,80,8825643.43,838531.64,7987111.79,90,3571691172.66,pre-2024 boundaries
East Kilbride and Strathaven,Scotland,550,59351705.07,6699890.35,52651814.72,550,4211398343.47,pre-2024 boundaries
East Londonderry,Northern Ireland,425,37168920.85,4882805.02,32286115.83,310,952763278.06,pre-2024 boundaries
East Renfrewshire,Scotland,665,71595396.31,8082013.89,63513382.42,660,4211398343.47,pre-2024 boundaries
East Surrey,South East,115,13090667.29,1243755.06,11846912.23,120,3571691172.66,pre-2024 boundaries
East Thanet,South East,135,15497660.95,1472445.51,14025215.44,130,3571691172.66,pre-2024 boundaries
East Wiltshire,South West,155,18831946.92,1721948.91,17109998.01,170,2156405285.39,pre-2024 boundaries
East Worthing and Shoreham,South East,115,13006211.37,1235730.84,11770480.53,120,3571691172.66,pre-2024 boundaries
Eastbourne,South East,280,32008792.92,3041181.74,28967611.18,280,3571691172.66,pre-2024 boundaries
Eastleigh,South East,110,12668387.7,1203633.93,11464753.77,120,3571691172.66,pre-2024 boundaries
Edinburgh East and Musselburgh,Scotland,2535,272728679.92,30786853.53,241941826.39,2130,4211398343.47,pre-2024 boundaries
Edinburgh North and Leith,Scotland,1410,151646077.16,17118498.75,134527578.41,1220,4211398343.47,pre-2024 boundaries
Edinburgh South,Scotland,2430,261436665.73,29512159.63,231924506.1,2320,4211398343.47,pre-2024 boundaries
Edinburgh South West,Scotland,1790,192549888.7,21735906.99,170813981.71,1600,4211398343.47,pre-2024 boundaries
Edinburgh West,Scotland,555,59516418.41,6718483.94,52797934.47,540,4211398343.47,pre-2024 boundaries
Edmonton and Winchmore Hill,London,1125,124627877.01,15543633.89,109084243.12,860,9591194979.52,pre-2024 boundaries
Ellesmere Port and Bromborough,North West,85,10191392.75,994326.12,9197066.63,100,3042886993.32,pre-2024 boundaries
Eltham and Chislehurst,London,620,68551852.82,8549811.87,60002040.95,550,9591194979.52,pre-2024 boundaries
Ely and East Cambridgeshire,East of England,180,18616554.49,1879978.94,16736575.55,160,2304881140.55,pre-2024 boundaries
Enfield North,London,1015,112804095.16,14068967.54,98735127.63,780,9591194979.52,pre-2024 boundaries
Epping Forest,East of England,310,32214733.42,3253180.95,28961552.48,280,2304881140.55,pre-2024 boundaries
Epsom and Ewell,South East,315,35851537.19,3406284.03,32445253.16,300,3571691172.66,pre-2024 boundaries
Erewash,East Midlands,80,9317040.35,832345.1,8484695.25,90,2527384329.97,pre-2024 boundaries
Erith and Thamesmead,London,1655,183399027.94,22873593.08,160525434.86,1190,9591194979.52,pre-2024 boundaries
Esher and Walton,South East,200,22803097.86,2166541.08,20636556.78,200,3571691172.66,pre-2024 boundaries
Exeter,South West,2235,269051206.83,24601409.18,244449797.65,2400,2156405285.39,pre-2024 boundaries
Exmouth and Exeter East,South West,110,13482582.29,1232815.59,12249766.69,120,2156405285.39,pre-2024 boundaries
Falkirk,Scotland,405,43649033.8,4927301.41,38721732.38,400,4211398343.47,pre-2024 boundaries
Fareham and Waterlooville,South East,70,8065540.17,766313.6,7299226.56,70,3571691172.66,pre-2024 boundaries
Farnham and Bordon,South East,305,34795838.22,3305981.2,31489857.01,310,3571691172.66,pre-2024 boundaries
Faversham and Mid Kent,South East,100,11528232.81,1095306.88,10432925.93,110,3571691172.66,pre-2024 boundaries
Feltham and Heston,London,1335,147884212.62,18444172.47,129440040.15,970,9591194979.52,pre-2024 boundaries
Fermanagh and South Tyrone,Northern Ireland,670,58262283.43,7653796.87,50608486.56,450,952763278.06,pre-2024 boundaries
Filton and Bradley Stoke,South West,945,113810461.81,10406560.79,103403901.01,970,2156405285.39,pre-2024 boundaries
Finchley and Golders Green,London,1240,137668812.87,17170104.12,120498708.74,960,9591194979.52,pre-2024 boundaries
Folkestone and Hythe,South East,140,16088852.38,1528615.1,14560237.28,160,3571691172.66,pre-2024 boundaries
Forest of Dean,South West,60,7096095.94,648850.31,6447245.63,70,2156405285.39,pre-2024 boundaries
Foyle,Northern Ireland,385,33359106.46,4382317.51,28976788.95,300,952763278.06,pre-2024 boundaries
Frome and East Somerset,South West,105,12445460.57,1137983.63,11307476.95,120,2156405285.39,pre-2024 boundaries
Fylde,North West,70,8223098.02,802288.89,7420809.13,80,3042886993.32,pre-2024 boundaries
Gainsborough,East Midlands,50,5842036.11,521902.87,5320133.24,60,2527384329.97,pre-2024 boundaries
Gateshead Central and Whickham,North East,760,80189273.86,7496864.05,72692409.81,740,1787629850.23,pre-2024 boundaries
Gedling,East Midlands,145,16720310.24,1493722.01,15226588.23,150,2527384329.97,pre-2024 boundaries
Gillingham and Rainham,South East,410,46492982.86,4417336.54,42075646.32,410,3571691172.66,pre-2024 boundaries
Glasgow East,Scotland,1365,147034103.78,16597878.22,130436225.55,1310,4211398343.47,pre-2024 boundaries
Glasgow North,Scotland,3335,359294688.25,40558818.18,318735870.06,2920,4211398343.47,pre-2024 boundaries
Glasgow North East,Scotland,1285,138615422.21,15647539.17,122967883.04,1150,4211398343.47,pre-2024 boundaries
Glasgow South,Scotland,725,77946010.45,8798900.09,69147110.36,760,4211398343.47,pre-2024 boundaries
Glasgow South West,Scotland,895,96595220.28,10904107.7,85691112.58,890,4211398343.47,pre-2024 boundaries
Glasgow West,Scotland,1355,145954316.36,16475986.91,129478329.45,1310,4211398343.47,pre-2024 boundaries
Glastonbury and Somerton,South West,80,9497851.49,868461.19,8629390.3,90,2156405285.39,pre-2024 boundaries
Glenrothes and Mid Fife,Scotland,430,46540667.9,5253722.22,41286945.68,450,4211398343.47,pre-2024 boundaries
Gloucester,South West,365,43995794.83,4022871.94,39972922.89,340,2156405285.39,pre-2024 boundaries
Godalming and Ash,South East,125,14230822.18,1352082.12,12878740.06,130,3571691172.66,pre-2024 boundaries
Goole and Pocklington,Yorkshire and the Humber,105,10921784.7,1040452.46,9881332.24,100,2934649994.01,pre-2024 boundaries
Gordon and Buchan,Scotland,310,33125681.83,3739377.59,29386304.24,320,4211398343.47,pre-2024 boundaries
Gorton and Denton,North West,940,114773453.16,11197904.51,103575548.66,910,3042886993.32,pre-2024 boundaries
Gosport,South East,100,11443776.89,1087282.65,10356494.24,110,3571691172.66,pre-2024 boundaries
Gower,Wales,270,25917528.43,3014640.24,22902888.19,240,1258810595.29,pre-2024 boundaries
Grantham and Bourne,East Midlands,115,13295668.39,1187778.95,12107889.44,120,2527384329.97,pre-2024 boundaries
Gravesham,South East,335,38089619.02,3618926.03,34470692.99,320,3571691172.66,pre-2024 boundaries
Great Grimsby and Cleethorpes,Yorkshire and the Humber,150,15418990.17,1468874.06,13950116.11,130,2934649994.01,pre-2024 boundaries
Great Yarmouth,East of England,120,12262643.5,1238333.95,11024309.55,110,2304881140.55,pre-2024 boundaries
