constituency_name,region,intl_students_firstyear,gross_benefit,costs,net_benefit,net_benefit_per_resident,region_impact,boundary_note
Milton Keynes North,South East,375,42439098.8,4032173.68,38406925.12,390,3571691172.66,pre-2024 boundaries
Mitcham and Morden,London,1025,113890839.82,14204506.73,99686333.09,800,9591194979.52,pre-2024 boundaries
Monmouthshire,Wales,90,8413315.33,978608.71,7434706.62,80,1258810595.29,pre-2024 boundaries
Montgomeryshire and Glyndwr,Wales,115,11180110.3,1300433.05,9879677.26,100,1258810595.29,pre-2024 boundaries
"Moray West, Nairn and Strathspey",Scotland,305,32759652.2,3698058.5,29061593.69,290,4211398343.47,pre-2024 boundaries
Morecambe and Lunesdale,North West,95,11459849.36,1118083.45,10341765.91,110,3042886993.32,pre-2024 boundaries
"Motherwell, Wishaw and Carluke",Scotland,485,52214127.22,5894168.11,46319959.11,480,4211398343.47,pre-2024 boundaries
Na h-Eileanan an Iar,Scotland,80,8729806.76,985460.28,7744346.48,300,4211398343.47,pre-2024 boundaries
Neath and Swansea East,Wales,555,53246686.96,6193476.58,47053210.38,470,1258810595.29,pre-2024 boundaries
New Forest East,South East,50,5616318.55,533611.04,5082707.5,60,3571691172.66,pre-2024 boundaries
New Forest West,South East,60,6629789.56,629901.76,5999887.8,70,3571691172.66,pre-2024 boundaries
Newark,East Midlands,140,15864149.78,1417236.25,14446913.53,140,2527384329.97,pre-2024 boundaries
Newbury,South East,100,11486004.85,1091294.77,10394710.08,110,3571691172.66,pre-2024 boundaries
Newcastle upon Tyne Central and West,North East,5090,536091612.7,50118996.51,485972616.19,3710,1787629850.23,pre-2024 boundaries
Newcastle upon Tyne East and Wallsend,North East,1900,200318379.1,18727687.41,181590691.7,1580,1787629850.23,pre-2024 boundaries
Newcastle upon Tyne North,North East,1195,126089118.84,11788022.71,114301096.13,1070,1787629850.23,pre-2024 boundaries
Newcastle-under-Lyme,West Midlands,470,53913252.3,4989225.7,48924026.6,530,3089054238.61,pre-2024 boundaries
Newport East,Wales,480,45906210.49,5339656.9,40566553.59,370,1258810595.29,pre-2024 boundaries
Newport West and Islwyn,Wales,155,14680952.93,1707639.35,12973313.57,130,1258810595.29,pre-2024 boundaries
Newry and Armagh,Northern Ireland,545,47576218.69,6249990.43,41326228.26,370,952763278.06,pre-2024 boundaries
Newton Abbot,South West,65,7914876.24,723717.66,7191158.58,80,2156405285.39,pre-2024 boundaries
Newton Aycliffe and Spennymoor,North East,160,17106013.05,1599234.51,15506778.54,160,1787629850.23,pre-2024 boundaries
Normanton and Hemsworth,Yorkshire and the Humber,100,10571353.11,1007068.96,9564284.15,90,2934649994.01,pre-2024 boundaries
North Antrim,Northern Ireland,240,20907517.98,2746577.83,18160940.15,170,952763278.06,pre-2024 boundaries
North Ayrshire and Arran,Scotland,505,54300496.13,6129686.92,48170809.21,530,4211398343.47,pre-2024 boundaries
North Bedfordshire,East of England,135,13760062.02,1389549.65,12370512.36,120,2304881140.55,pre-2024 boundaries
North Cornwall,South West,55,6768583.82,618903.38,6149680.44,60,2156405285.39,pre-2024 boundaries
North Cotswolds,South West,90,10862485.32,993240.09,9869245.23,110,2156405285.39,pre-2024 boundaries
North Devon,South West,70,8624485.83,788602.69,7835883.15,80,2156405285.39,pre-2024 boundaries
North Dorset,South West,90,11135412.09,1018195.88,10117216.21,110,2156405285.39,pre-2024 boundaries
North Down,Northern Ireland,245,21186284.88,2783198.86,18403086.02,190,952763278.06,pre-2024 boundaries
North Durham,North East,195,20511735.11,1917634.14,18594100.97,200,1787629850.23,pre-2024 boundaries
North East Cambridgeshire,East of England,135,13760062.02,1389549.65,12370512.36,120,2304881140.55,pre-2024 boundaries
North East Derbyshire,East Midlands,40,4381527.08,391427.15,3990099.93,40,2527384329.97,pre-2024 boundaries
North East Fife,Scotland,1665,179079998.19,20215364.5,158864633.69,1720,4211398343.47,pre-2024 boundaries
North East Hampshire,South East,100,11148181.18,1059197.86,10088983.31,100,3571691172.66,pre-2024 boundaries
North East Hertfordshire,East of England,105,10805695.76,1091205.17,9714490.59,90,2304881140.55,pre-2024 boundaries
North East Somerset and Hanham,South West,155,18613605.5,1701984.28,16911621.22,180,2156405285.39,pre-2024 boundaries
North Herefordshire,West Midlands,60,6656501.31,616004.15,6040497.15,70,3089054238.61,pre-2024 boundaries
North Norfolk,East of England,25,2630600.09,265649.2,2364950.89,30,2304881140.55,pre-2024 boundaries
North Northumberland,North East,55,5805208.05,542726.64,5262481.41,60,1787629850.23,pre-2024 boundaries
North Shropshire,West Midlands,75,8728392.44,807740.55,7920651.89,80,3089054238.61,pre-2024 boundaries
North Somerset,South West,95,11408338.86,1043151.66,10365187.2,110,2156405285.39,pre-2024 boundaries
North Warwickshire and Bedworth,West Midlands,115,13357085.4,1236087.81,12120997.6,130,3089054238.61,pre-2024 boundaries
North West Cambridgeshire,East of England,290,29826957.96,3012053.21,26814904.74,240,2304881140.55,pre-2024 boundaries
North West Essex,East of England,135,14002886.64,1414071.12,12588815.52,120,2304881140.55,pre-2024 boundaries
North West Hampshire,South East,115,12879527.5,1223694.5,11655833.0,110,3571691172.66,pre-2024 boundaries
North West Leicestershire,East Midlands,120,14000741.71,1250767.23,12749974.48,130,2527384329.97,pre-2024 boundaries
North West Norfolk,East of England,110,11574640.4,1168856.47,10405783.93,100,2304881140.55,pre-2024 boundaries
Northampton North,East Midlands,1440,164735345.79,14716761.16,150018584.63,1170,2527384329.97,pre-2024 boundaries
Northampton South,East Midlands,710,81133794.58,7248151.09,73885643.49,670,2527384329.97,pre-2024 boundaries
Norwich North,East of England,220,22744573.1,2296843.83,20447729.26,210,2304881140.55,pre-2024 boundaries
Norwich South,East of England,1540,158726362.43,16028863.91,142697498.51,1360,2304881140.55,pre-2024 boundaries
Nottingham East,East Midlands,3160,361803339.7,32321984.76,329481354.94,2700,2527384329.97,pre-2024 boundaries
Nottingham North and Kimberley,East Midlands,620,70859869.01,6330321.9,64529547.1,590,2527384329.97,pre-2024 boundaries
Nottingham South,East Midlands,2815,322419958.35,28803639.54,293616318.81,2690,2527384329.97,pre-2024 boundaries
Nuneaton,West Midlands,200,23143464.8,2141736.3,21001728.51,210,3089054238.61,pre-2024 boundaries
Old Bexley and Sidcup,London,290,32124171.99,4006538.35,28117633.65,280,9591194979.52,pre-2024 boundaries
Oldham East and Saddleworth,North West,325,39890773.36,3891954.61,35998818.74,330,3042886993.32,pre-2024 boundaries
"Oldham West, Chadderton and Royton",North West,450,54674853.83,5334367.62,49340486.21,440,3042886993.32,pre-2024 boundaries
Orkney and Shetland,Scotland,90,9882800.1,1115615.41,8767184.69,200,4211398343.47,pre-2024 boundaries
Orpington,London,250,27951072.52,3486067.87,24465004.65,250,9591194979.52,pre-2024 boundaries
Ossett and Denby Dale,Yorkshire and the Humber,140,14542911.18,1385415.3,13157495.88,140,2934649994.01,pre-2024 boundaries
Oxford East,South East,1980,225370617.19,21412647.68,203957969.51,1740,3571691172.66,pre-2024 boundaries
Oxford West and Abingdon,South East,2690,306068246.84,29079795.83,276988451.01,2610,3571691172.66,pre-2024 boundaries
Paisley and Renfrewshire North,Scotland,590,63762362.16,7197785.38,56564576.78,610,4211398343.47,pre-2024 boundaries
Paisley and Renfrewshire South,Scotland,665,71448984.46,8065486.26,63383498.2,670,4211398343.47,pre-2024 boundaries
Peckham,London,1625,180269203.33,22483240.23,157785963.11,1460,9591194979.52,pre-2024 boundaries
Pendle and Clitheroe,North West,185,22394820.13,2184956.98,20209863.15,190,3042886993.32,pre-2024 boundaries
Penistone and Stocksbridge,Yorkshire and the Humber,70,7125442.43,678797.86,6446644.57,70,2934649994.01,pre-2024 boundaries
Penrith and Solway,North West,45,5292525.85,516366.79,4776159.07,50,3042886993.32,pre-2024 boundaries
Perth and Kinross-shire,Scotland,460,49414000.52,5578077.07,43835923.45,430,4211398343.47,pre-2024 boundaries
Peterborough,East of England,595,61394159.05,6199843.59,55194315.46,420,2304881140.55,pre-2024 boundaries
Plymouth Moor View,South West,130,15665996.42,1432461.85,14233534.58,140,2156405285.39,pre-2024 boundaries
Plymouth Sutton and Devonport,South West,1165,140393528.9,12837253.89,127556275.02,1190,2156405285.39,pre-2024 boundaries
"Pontefract, Castleford and Knottingley",Yorkshire and the Humber,100,10104110.98,962557.62,9141553.36,90,2934649994.01,pre-2024 boundaries
Pontypridd,Wales,690,66064288.17,7684377.09,58379911.07,580,1258810595.29,pre-2024 boundaries
Poole,South West,200,24345067.61,2226055.69,22119011.92,230,2156405285.39,pre-2024 boundaries
Poplar and Limehouse,London,2305,255428463.66,31857130.35,223571333.31,1610,9591194979.52,pre-2024 boundaries
Portsmouth North,South East,225,25336775.4,2407267.87,22929507.53,230,3571691172.66,pre-2024 boundaries
Portsmouth South,South East,1885,214475803.77,20377522.49,194098281.27,1800,3571691172.66,pre-2024 boundaries
Preston,North West,1490,181739214.14,17731437.96,164007776.17,1430,3042886993.32,pre-2024 boundaries
Putney,London,1055,116933724.85,14584016.45,102349708.41,920,9591194979.52,pre-2024 boundaries
Queen's Park and Maida Vale,London,1410,156404290.71,19506799.69,136897491.02,1100,9591194979.52,pre-2024 boundaries
Rawmarsh and Conisbrough,Yorkshire and the Humber,85,8819195.13,840151.45,7979043.68,80,2934649994.01,pre-2024 boundaries
Rayleigh and Wickford,East of England,55,5423083.26,547646.04,4875437.23,50,2304881140.55,pre-2024 boundaries
Reading Central,South East,1235,140407963.68,13340276.1,127067687.58,1100,3571691172.66,pre-2024 boundaries
Reading West and Mid Berkshire,South East,170,19255949.3,1829523.58,17426425.73,180,3571691172.66,pre-2024 boundaries
Redcar,North East,130,13622888.22,1273598.53,12349289.7,130,1787629850.23,pre-2024 boundaries
Redditch,West Midlands,115,13268919.82,1227928.81,12040991.01,120,3089054238.61,pre-2024 boundaries
Reigate,South East,195,22211906.43,2110371.5,20101534.94,180,3571691172.66,pre-2024 boundaries
Rhondda and Ogmore,Wales,105,9881410.62,1149372.64,8732037.98,90,1258810595.29,pre-2024 boundaries
Ribble Valley,North West,100,12290907.14,1199165.84,11091741.3,110,3042886993.32,pre-2024 boundaries
Richmond Park,London,725,80375634.67,10024478.22,70351156.45,630,9591194979.52,pre-2024 boundaries
Richmond and Northallerton,Yorkshire and the Humber,80,8351953.01,795640.11,7556312.89,80,2934649994.01,pre-2024 boundaries
Rochdale,North West,375,45620698.04,4450996.34,41169701.7,400,3042886993.32,pre-2024 boundaries
Rochester and Strood,South East,310,35218117.81,3346102.34,31872015.47,310,3571691172.66,pre-2024 boundaries
Romford,London,555,61683626.6,7693204.22,53990422.39,500,9591194979.52,pre-2024 boundaries
Romsey and Southampton North,South East,895,101769381.19,9669192.6,92100188.59,930,3571691172.66,pre-2024 boundaries
Rossendale and Darwen,North West,65,7829439.07,763881.44,7065557.63,70,3042886993.32,pre-2024 boundaries
Rother Valley,Yorkshire and the Humber,75,7767900.35,740000.95,7027899.4,80,2934649994.01,pre-2024 boundaries
Rotherham,Yorkshire and the Humber,310,32298111.98,3076846.04,29221265.94,270,2934649994.01,pre-2024 boundaries
Rugby,West Midlands,290,33414754.9,3092259.26,30322495.63,280,3089054238.61,pre-2024 boundaries
"Ruislip, Northwood and Pinner",London,500,55510916.97,6923341.64,48587575.33,490,9591194979.52,pre-2024 boundaries
Runcorn and Helsby,North West,55,6954641.41,678531.56,6276109.85,70,3042886993.32,pre-2024 boundaries
Runnymede and Weybridge,South East,440,49871219.58,4738305.58,45132914.0,430,3571691172.66,pre-2024 boundaries
Rushcliffe,East Midlands,280,32030473.84,2861467.47,29169006.37,290,2527384329.97,pre-2024 boundaries
Rutherglen,Scotland,480,51921303.51,5861112.84,46060190.68,490,4211398343.47,pre-2024 boundaries
Rutland and Stamford,East Midlands,100,11381897.94,1016810.77,10365087.17,110,2527384329.97,pre-2024 boundaries
Salford,North West,1515,184801005.95,18030162.55,166770843.4,1380,3042886993.32,pre-2024 boundaries
Salisbury,South West,120,14519704.0,1327647.56,13192056.44,140,2156405285.39,pre-2024 boundaries
Scarborough and Whitby,Yorkshire and the Humber,110,11155405.76,1062708.12,10092697.64,100,2934649994.01,pre-2024 boundaries
Scunthorpe,Yorkshire and the Humber,260,26691206.46,2542710.01,24148496.45,230,2934649994.01,pre-2024 boundaries
Sefton Central,North West,35,4024069.24,392609.46,3631459.79,40,3042886993.32,pre-2024 boundaries
Selby,Yorkshire and the Humber,105,10863379.44,1034888.54,9828490.9,100,2934649994.01,pre-2024 boundaries
Sevenoaks,South East,115,13301807.09,1263815.63,12037991.46,120,3571691172.66,pre-2024 boundaries
Sheffield Brightside and Hillsborough,Yorkshire and the Humber,815,84045177.46,8006476.39,76038701.07,690,2934649994.01,pre-2024 boundaries
Sheffield Central,Yorkshire and the Humber,5570,576051136.43,54876912.2,521174224.23,5800,2934649994.01,pre-2024 boundaries
Sheffield Hallam,Yorkshire and the Humber,660,68275755.7,6504218.83,61771536.87,660,2934649994.01,pre-2024 boundaries
Sheffield Heeley,Yorkshire and the Humber,785,81066508.91,7722716.63,73343792.28,690,2934649994.01,pre-2024 boundaries
Sheffield South East,Yorkshire and the Humber,350,36444885.85,3471884.13,32973001.72,320,2934649994.01,pre-2024 boundaries
Sherwood Forest,East Midlands,80,9317040.35,832345.1,8484695.25,80,2527384329.97,pre-2024 boundaries
Shipley,Yorkshire and the Humber,100,10337732.04,984813.29,9352918.76,100,2934649994.01,pre-2024 boundaries
Shrewsbury,West Midlands,135,15296728.17,1415585.71,13881142.46,140,3089054238.61,pre-2024 boundaries
Sittingbourne and Sheppey,South East,125,14104138.31,1340045.78,12764092.53,110,3571691172.66,pre-2024 boundaries
Skipton and Ripon,Yorkshire and the Humber,75,7651089.82,728873.11,6922216.71,70,2934649994.01,pre-2024 boundaries
Sleaford and North Hykeham,East Midlands,75,8712691.78,778355.15,7934336.64,80,2527384329.97,pre-2024 boundaries
Slough,South East,960,109243729.94,10379336.62,98864393.32,720,3571691172.66,pre-2024 boundaries
Smethwick,West Midlands,1015,116334483.08,10765794.45,105568688.63,920,3089054238.61,pre-2024 boundaries
Solihull West and Shirley,West Midlands,130,14944065.84,1382949.72,13561116.12,150,3089054238.61,pre-2024 boundaries
South Antrim,Northern Ireland,260,22765964.02,2990718.08,19775245.94,190,952763278.06,pre-2024 boundaries
South Basildon and East Thurrock,East of England,235,24201520.84,2443972.62,21757548.22,220,2304881140.55,pre-2024 boundaries
South Cambridgeshire,East of England,600,61798866.76,6240712.7,55558154.06,530,2304881140.55,pre-2024 boundaries
South Cotswolds,South West,125,14956386.83,1367576.81,13588810.01,140,2156405285.39,pre-2024 boundaries
South Derbyshire,East Midlands,75,8460879.88,755859.33,7705020.55,80,2527384329.97,pre-2024 boundaries
South Devon,South West,80,9552436.84,873452.34,8678984.5,100,2156405285.39,pre-2024 boundaries
South Dorset,South West,65,7751120.18,708744.19,7042375.99,70,2156405285.39,pre-2024 boundaries
South Down,Northern Ireland,270,23323497.83,3063960.15,20259537.68,190,952763278.06,pre-2024 boundaries
South East Cornwall,South West,35,4312242.92,394301.34,3917941.57,40,2156405285.39,pre-2024 boundaries
South Holland and The Deepings,East Midlands,140,16267048.82,1453229.55,14813819.27,140,2527384329.97,pre-2024 boundaries
South Leicestershire,East Midlands,65,7453632.28,665876.08,6787756.2,70,2527384329.97,pre-2024 boundaries
South Norfolk,East of England,95,10036751.12,1013553.86,9023197.25,100,2304881140.55,pre-2024 boundaries
South Northamptonshire,East Midlands,115,12943131.72,1156284.81,11786846.91,120,2527384329.97,pre-2024 boundaries
South Ribble,North West,40,4986346.67,486494.33,4499852.34,50,3042886993.32,pre-2024 boundaries
South Shields,North East,235,24923693.23,2330106.39,22593586.83,250,1787629850.23,pre-2024 boundaries
South Shropshire,West Midlands,65,7405908.74,685355.62,6720553.12,70,3089054238.61,pre-2024 boundaries
South Suffolk,East of England,50,5382612.49,543559.13,4839053.37,50,2304881140.55,pre-2024 boundaries
South West Devon,South West,60,7259852.0,663823.78,6596028.22,70,2156405285.39,pre-2024 boundaries
South West Hertfordshire,East of England,225,23311163.89,2354060.59,20957103.3,210,2304881140.55,pre-2024 boundaries
South West Norfolk,East of England,145,14771831.28,1491722.42,13280108.86,130,2304881140.55,pre-2024 boundaries
South West Wiltshire,South West,95,11735850.98,1073098.59,10662752.38,110,2156405285.39,pre-2024 boundaries
Southampton Itchen,South East,1125,128246311.49,12184787.52,116061523.97,1060,3571691172.66,pre-2024 boundaries
Southampton Test,South East,1380,157299147.28,14945121.34,142354025.94,1280,3571691172.66,pre-2024 boundaries
Southend East and Rochford,East of England,290,29786487.19,3007966.3,26778520.88,270,2304881140.55,pre-2024 boundaries
Southend West and Leigh,East of England,160,16309720.57,1647025.03,14662695.54,140,2304881140.55,pre-2024 boundaries
Southgate and Wood Green,London,1145,127149124.61,15858084.8,111291039.81,870,9591194979.52,pre-2024 boundaries
Southport,North West,105,12859525.62,1254643.26,11604882.36,120,3042886993.32,pre-2024 boundaries
Spelthorne,South East,280,31755425.17,3017109.06,28738316.11,280,3571691172.66,pre-2024 boundaries
Spen Valley,Yorkshire and the Humber,95,10045705.71,956993.7,9088712.01,100,2934649994.01,pre-2024 boundaries
St Albans,East of England,240,24565757.77,2480754.82,22085002.96,220,2304881140.55,pre-2024 boundaries
St Austell and Newquay,South West,65,7969461.59,728708.81,7240752.78,70,2156405285.39,pre-2024 boundaries
St Helens North,North West,50,6167323.51,601716.67,5565606.84,60,3042886993.32,pre-2024 boundaries
St Helens South and Whiston,North West,80,9797733.81,955918.68,8841815.13,90,3042886993.32,pre-2024 boundaries
St Ives,South West,85,10316631.79,943328.53,9373303.26,110,2156405285.39,pre-2024 boundaries
St Neots and Mid Cambridgeshire,East of England,235,24444345.46,2468494.09,21975851.38,210,2304881140.55,pre-2024 boundaries
Stafford,West Midlands,135,15340810.96,1419665.2,13921145.75,150,3089054238.61,pre-2024 boundaries
Staffordshire Moorlands,West Midlands,30,3394374.84,314121.32,3080253.51,40,3089054238.61,pre-2024 boundaries
Stalybridge and Hyde,North West,145,17670912.76,1724067.61,15946845.14,160,3042886993.32,pre-2024 boundaries
Stevenage,East of England,275,28289068.67,2856750.61,25432318.07,250,2304881140.55,pre-2024 boundaries
Stirling and Strathallan,Scotland,1210,130288248.05,14707529.88,115580718.16,1130,4211398343.47,pre-2024 boundaries
Stockport,North West,225,27162467.38,2650113.83,24512353.55,230,3042886993.32,pre-2024 boundaries
Stockton North,North East,380,39785025.83,3719486.6,36065539.23,360,1787629850.23,pre-2024 boundaries
Stockton West,North East,130,13622888.22,1273598.53,12349289.7,140,1787629850.23,pre-2024 boundaries
Stoke-on-Trent Central,West Midlands,730,83536887.24,7730648.16,75806239.09,670,3089054238.61,pre-2024 boundaries
Stoke-on-Trent North,West Midlands,195,22570388.53,2088702.83,20481685.71,200,3089054238.61,pre-2024 boundaries
Stoke-on-Trent South,West Midlands,135,15296728.17,1415585.71,13881142.46,150,3089054238.61,pre-2024 boundaries
"Stone, Great Wyrley and Penkridge",West Midlands,50,5554431.55,514016.71,5040414.84,50,3089054238.61,pre-2024 boundaries
Stourbridge,West Midlands,140,15913887.23,1472698.67,14441188.55,160,3089054238.61,pre-2024 boundaries
Strangford,Northern Ireland,160,14031267.62,1843258.9,12188008.72,120,952763278.06,pre-2024 boundaries
Stratford and Bow,London,2275,252255169.26,31461355.93,220793813.34,1720,9591194979.52,pre-2024 boundaries
Stratford-on-Avon,West Midlands,90,10094958.93,934204.98,9160753.96,100,3089054238.61,pre-2024 boundaries
Streatham and Croydon North,London,915,101719299.69,12686467.84,89032831.85,750,9591194979.52,pre-2024 boundaries
Stretford and Urmston,North West,335,41071750.2,4007176.96,37064573.24,360,3042886993.32,pre-2024 boundaries
Stroud,South West,70,8515315.13,778620.38,7736694.75,80,2156405285.39,pre-2024 boundaries
Suffolk Coastal,East of England,55,5544495.58,559906.77,4984588.81,50,2304881140.55,pre-2024 boundaries
Sunderland Central,North East,1465,154263728.58,14422056.03,139841672.55,1440,1787629850.23,pre-2024 boundaries
Surrey Heath,South East,165,18960353.59,1801438.79,17158914.8,170,3571691172.66,pre-2024 boundaries
Sussex Weald,South East,60,6629789.56,629901.76,5999887.8,70,3571691172.66,pre-2024 boundaries
Sutton Coldfield,West Midlands,140,16222466.76,1501255.16,14721211.6,150,3089054238.61,pre-2024 boundaries
Sutton and Cheam,London,500,55206628.46,6885390.66,48321237.8,460,9591194979.52,pre-2024 boundaries
Swansea West,Wales,1910,182721398.72,21253542.12,161467856.6,1540,1258810595.29,pre-2024 boundaries
Swindon North,South West,235,28329798.41,2590410.1,25739388.31,240,2156405285.39,pre-2024 boundaries
Swindon South,South West,485,58187986.71,5320572.57,52867414.14,470,2156405285.39,pre-2024 boundaries
Tamworth,West Midlands,130,14899983.05,1378870.23,13521112.83,140,3089054238.61,pre-2024 boundaries
Tatton,North West,70,8485537.31,827893.85,7657643.46,80,3042886993.32,pre-2024 boundaries
Taunton and Wellington,South West,165,19923653.99,1821772.03,18101881.95,170,2156405285.39,pre-2024 boundaries
Telford,West Midlands,190,21732815.52,2011192.37,19721623.15,190,3089054238.61,pre-2024 boundaries
Tewkesbury,South West,130,15611411.07,1427470.69,14183940.38,150,2156405285.39,pre-2024 boundaries
The Wrekin,West Midlands,275,31254698.18,2892363.88,28362334.31,260,3089054238.61,pre-2024 boundaries
Thirsk and Malton,Yorkshire and the Humber,70,7417468.75,706617.44,6710851.31,70,2934649994.01,pre-2024 boundaries
Thornbury and Yate,South West,105,12500045.92,1142974.78,11357071.14,120,2156405285.39,pre-2024 boundaries
Thurrock,East of England,800,82843667.49,8365906.28,74477761.21,620,2304881140.55,pre-2024 boundaries
Tipton and Wednesbury,West Midlands,495,56558219.7,5233995.56,51324224.14,450,3089054238.61,pre-2024 boundaries
Tiverton and Minehead,South West,50,5840632.81,534053.72,5306579.09,60,2156405285.39,pre-2024 boundaries
Tonbridge,South East,100,11274865.05,1071234.2,10203630.85,100,3571691172.66,pre-2024 boundaries
Tooting,London,850,94155556.89,11743115.1,82412441.79,770,9591194979.52,pre-2024 boundaries
Torbay,South West,110,13427996.93,1227824.44,12200172.49,120,2156405285.39,pre-2024 boundaries
Torfaen,Wales,65,6324102.8,735598.49,5588504.31,60,1258810595.29,pre-2024 boundaries
Torridge and Tavistock,South West,40,4858096.45,444212.91,4413883.54,50,2156405285.39,pre-2024 boundaries
Tottenham,London,1795,199308969.68,24857886.77,174451082.91,1280,9591194979.52,pre-2024 boundaries
Truro and Falmouth,South West,425,51037305.41,4666731.1,46370574.32,490,2156405285.39,pre-2024 boundaries
Tunbridge Wells,South East,145,16468904.01,1564724.11,14904179.9,140,3571691172.66,pre-2024 boundaries
Twickenham,London,485,53902534.88,6722743.64,47179791.24,440,9591194979.52,pre-2024 boundaries
Tynemouth,North East,155,16564193.64,1548580.03,15015613.61,160,1787629850.23,pre-2024 boundaries
Upper Bann,Northern Ireland,595,51571877.68,6774891.97,44796985.71,370,952763278.06,pre-2024 boundaries
Uxbridge and South Ruislip,London,1580,175052828.99,21832652.13,153220176.86,1300,9591194979.52,pre-2024 boundaries
Vale of Glamorgan,Wales,150,14568022.52,1694503.67,12873518.85,140,1258810595.29,pre-2024 boundaries
Vauxhall and Camberwell Green,London,1920,212784603.4,26538572.68,186246030.72,1810,9591194979.52,pre-2024 boundaries
Wakefield and Rothwell,Yorkshire and the Humber,300,30837980.33,2937748.11,27900232.22,260,2934649994.01,pre-2024 boundaries
Wallasey,North West,70,8791716.5,857766.31,7933950.18,80,3042886993.32,pre-2024 boundaries
Walsall and Bloxwich,West Midlands,630,71810865.08,6645501.77,65165363.31,560,3089054238.61,pre-2024 boundaries
Walthamstow,London,1175,130365888.79,16259280.79,114106608.0,940,9591194979.52,pre-2024 boundaries
Warrington North,North West,115,14259201.88,1391203.07,12867998.8,130,3042886993.32,pre-2024 boundaries
Warrington South,North West,125,15265219.19,1489355.44,13775863.75,140,3042886993.32,pre-2024 boundaries
Warwick and Leamington,West Midlands,815,93014687.12,8607740.17,84406946.95,800,3089054238.61,pre-2024 boundaries
Washington and Gateshead South,North East,140,14551721.51,1360434.79,13191286.72,140,1787629850.23,pre-2024 boundaries
Watford,East of England,700,72078442.5,7278788.02,64799654.47,590,2304881140.55,pre-2024 boundaries
Waveney Valley,East of England,45,4451784.77,449560.18,4002224.59,50,2304881140.55,pre-2024 boundaries
Weald of Kent,South East,70,8065540.17,766313.6,7299226.56,80,3571691172.66,pre-2024 boundaries
Wellingborough and Rushden,East Midlands,340,39081207.07,3491350.25,35589856.83,320,2527384329.97,pre-2024 boundaries
Wells and Mendip Hills,South West,80,9770778.26,893416.97,8877361.29,100,2156405285.39,pre-2024 boundaries
Welwyn Hatfield,East of England,2045,210893185.77,21296891.86,189596293.92,1660,2304881140.55,pre-2024 boundaries
West Aberdeenshire and Kincardine,Scotland,365,39091964.86,4412878.75,34679086.11,360,4211398343.47,pre-2024 boundaries
West Bromwich,West Midlands,610,69650808.36,6445606.38,63205201.98,570,3089054238.61,pre-2024 boundaries
West Dorset,South West,90,10862485.32,993240.09,9869245.23,110,2156405285.39,pre-2024 boundaries
West Dunbartonshire,Scotland,530,57338542.09,6472635.36,50865906.73,560,4211398343.47,pre-2024 boundaries
West Ham and Beckton,London,2255,250125149.74,31195699.12,218929450.62,1600,9591194979.52,pre-2024 boundaries
West Lancashire,North West,205,25237912.53,2462344.09,22775568.44,230,3042886993.32,pre-2024 boundaries
West Suffolk,East of England,365,37597345.92,3796740.08,33800605.84,290,2304881140.55,pre-2024 boundaries
West Tyrone,Northern Ireland,305,26575778.41,3491205.59,23084572.82,230,952763278.06,pre-2024 boundaries
West Worcestershire,West Midlands,80,9257385.92,856694.52,8400691.4,90,3089054238.61,pre-2024 boundaries
Westmorland and Lonsdale,North West,55,6998381.29,682799.06,6315582.24,70,3042886993.32,pre-2024 boundaries
Weston-super-Mare,South West,155,18668190.86,1706975.44,16961215.42,180,2156405285.39,pre-2024 boundaries
Wetherby and Easingwold,Yorkshire and the Humber,105,10863379.44,1034888.54,9828490.9,110,2934649994.01,pre-2024 boundaries
Whitehaven and Workington,North West,40,4723907.37,460889.36,4263018.01,50,3042886993.32,pre-2024 boundaries
Widnes and Halewood,North West,60,7260820.59,708404.02,6552416.57,70,3042886993.32,pre-2024 boundaries
Wigan,North West,155,19158068.78,1869162.41,17288906.37,160,3042886993.32,pre-2024 boundaries
Wimbledon,London,650,71985965.93,8978115.7,63007850.23,570,9591194979.52,pre-2024 boundaries
Winchester,South East,375,42608010.63,4048222.13,38559788.5,370,3571691172.66,pre-2024 boundaries
Windsor,South East,890,101516013.44,9645119.92,91870893.52,830,3571691172.66,pre-2024 boundaries
Wirral West,North West,40,5117566.32,499296.81,4618269.51,50,3042886993.32,pre-2024 boundaries
Witham,East of England,100,10562871.14,1066683.7,9496187.43,90,2304881140.55,pre-2024 boundaries
Witney,South East,110,12626159.74,1199621.82,11426537.92,120,3571691172.66,pre-2024 boundaries
Woking,South East,305,34500242.5,3277896.41,31222346.09,300,3571691172.66,pre-2024 boundaries
Wokingham,South East,155,17524602.99,1665026.94,15859576.04,160,3571691172.66,pre-2024 boundaries
Wolverhampton North East,West Midlands,500,57219461.55,5295188.03,51924273.53,490,3089054238.61,pre-2024 boundaries
Wolverhampton South East,West Midlands,635,72604355.3,6718932.73,65885422.57,550,3089054238.61,pre-2024 boundaries
Wolverhampton West,West Midlands,860,98304621.93,9097279.89,89207342.04,790,3089054238.61,pre-2024 boundaries
Worcester,West Midlands,415,47521247.73,4397698.53,43123549.2,410,3089054238.61,pre-2024 boundaries
Worsley and Eccles,North West,285,34598247.5,3375587.83,31222659.68,290,3042886993.32,pre-2024 boundaries
